PERMNO,date,TICKER,PRC,VOL,RET
14593,23-03-92,AAPL,63,448524,-0.003953
14593,24-03-92,AAPL,65,1872143,0.031746
14593,25-03-92,AAPL,64.5,1087167,-0.007692
14593,26-03-92,AAPL,64,1110481,-0.007752
14593,27-03-92,AAPL,61,2384511,-0.046875
14593,30-03-92,AAPL,58.125,3030929,-0.047131
14593,31-03-92,AAPL,58.25,1900494,0.002151
14593,01-04-92,AAPL,59,1468849,0.012876
14593,02-04-92,AAPL,58.75,1197516,-0.004237
14593,03-04-92,AAPL,59,1054568,0.004255
14593,06-04-92,AAPL,60.75,912006,0.029661
14593,07-04-92,AAPL,57.25,2018600,-0.057613
14593,08-04-92,AAPL,55.875,3291492,-0.024017
14593,09-04-92,AAPL,57.25,1718185,0.024609
14593,10-04-92,AAPL,55.5,2449345,-0.030568
14593,13-04-92,AAPL,56.5,1098279,0.018018
14593,14-04-92,AAPL,58.75,1301595,0.039823
14593,15-04-92,AAPL,60.5,1953871,0.029787
14593,16-04-92,AAPL,59,2313279,-0.024793
14593,20-04-92,AAPL,56.75,1891663,-0.038136
14593,21-04-92,AAPL,56.25,1584127,-0.008811
14593,22-04-92,AAPL,57.625,1552028,0.024444
14593,23-04-92,AAPL,57,1634168,-0.010846
14593,24-04-92,AAPL,56.5,878885,-0.008772
14593,27-04-92,AAPL,55.75,1253560,-0.013274
14593,28-04-92,AAPL,54.25,1556852,-0.026906
14593,29-04-92,AAPL,57,1777546,0.050691
14593,30-04-92,AAPL,60.125,2325472,0.054825
14593,01-05-92,AAPL,59.25,1223656,-0.014553
14593,04-05-92,AAPL,60.5,1102789,0.021097
14593,05-05-92,AAPL,60.5,1609629,0
14593,06-05-92,AAPL,61.75,1585172,0.020661
14593,07-05-92,AAPL,60.75,1551615,-0.016194
14593,08-05-92,AAPL,62,1832086,0.020576
14593,11-05-92,AAPL,62.25,813762,0.004032
14593,12-05-92,AAPL,62.25,704109,0
14593,13-05-92,AAPL,62.75,871908,0.008032
14593,14-05-92,AAPL,61.375,1402306,-0.021912
14593,15-05-92,AAPL,60.625,1096608,-0.01222
14593,18-05-92,AAPL,60.375,1154693,-0.004124
14593,19-05-92,AAPL,59.375,1176938,-0.016563
14593,20-05-92,AAPL,60,1566125,0.010526
14593,21-05-92,AAPL,59.125,1242618,-0.014583
14593,22-05-92,AAPL,59.5,415959,0.006342
14593,26-05-92,AAPL,59.25,855051,-0.004202
14593,27-05-92,AAPL,60.25,1377271,0.016878
14593,28-05-92,AAPL,59.5,1137740,-0.012448
14593,29-05-92,AAPL,59.75,1593001,0.004202
14593,01-06-92,AAPL,57.5,2242159,-0.035649
14593,02-06-92,AAPL,56.5,1391784,-0.017391
14593,03-06-92,AAPL,54.125,2696545,-0.042035
14593,04-06-92,AAPL,54.5,1605907,0.006928
14593,05-06-92,AAPL,54.875,1008455,0.006881
14593,08-06-92,AAPL,54.25,932653,-0.01139
14593,09-06-92,AAPL,54,905883,-0.004608
14593,10-06-92,AAPL,53.75,1142641,-0.00463
14593,11-06-92,AAPL,53.875,1255994,0.002326
14593,12-06-92,AAPL,54.625,863186,0.013921
14593,15-06-92,AAPL,52.625,1674644,-0.036613
14593,16-06-92,AAPL,49.25,3314828,-0.064133
14593,17-06-92,AAPL,47.5,2719955,-0.035533
14593,18-06-92,AAPL,45.25,3925309,-0.047368
14593,19-06-92,AAPL,44.75,3818924,-0.01105
14593,22-06-92,AAPL,44.25,3485416,-0.011173
14593,23-06-92,AAPL,45.25,2786355,0.022599
14593,24-06-92,AAPL,46,1974994,0.016575
14593,25-06-92,AAPL,45.625,1437165,-0.008152
14593,26-06-92,AAPL,45.25,986698,-0.008219
14593,29-06-92,AAPL,46.75,1684435,0.033149
14593,30-06-92,AAPL,48,1729989,0.026738
14593,01-07-92,AAPL,49,1282924,0.020833
14593,02-07-92,AAPL,46.25,2350159,-0.056122
14593,06-07-92,AAPL,46.25,1104403,0
14593,07-07-92,AAPL,44.25,1851851,-0.043243
14593,08-07-92,AAPL,45.75,1751826,0.033898
14593,09-07-92,AAPL,45.875,1538565,0.002732
14593,10-07-92,AAPL,46,1286021,0.002725
14593,13-07-92,AAPL,47,1197904,0.021739
14593,14-07-92,AAPL,47.5,1127172,0.010638
14593,15-07-92,AAPL,48,1559898,0.010526
14593,16-07-92,AAPL,48.75,1340184,0.015625
14593,17-07-92,AAPL,45,4016439,-0.076923
14593,20-07-92,AAPL,44.75,1781777,-0.005556
14593,21-07-92,AAPL,45.75,1178163,0.022346
14593,22-07-92,AAPL,44.25,1482932,-0.032787
14593,23-07-92,AAPL,44.75,1538775,0.011299
14593,24-07-92,AAPL,45.875,1207499,0.02514
14593,27-07-92,AAPL,45.25,723159,-0.013624
14593,28-07-92,AAPL,46.5,1200623,0.027624
14593,29-07-92,AAPL,47.25,2241661,0.016129
14593,30-07-92,AAPL,47.25,1233694,0
14593,31-07-92,AAPL,46.75,811012,-0.010582
14593,03-08-92,AAPL,45.75,613986,-0.02139
14593,04-08-92,AAPL,45.5,1071428,-0.005464
14593,05-08-92,AAPL,44.75,1245362,-0.016484
14593,06-08-92,AAPL,44,2330767,-0.01676
14593,07-08-92,AAPL,43.375,2010171,-0.014205
14593,10-08-92,AAPL,44.125,818767,0.017291
14593,11-08-92,AAPL,43.5,1084935,-0.014164
14593,12-08-92,AAPL,44.125,1085933,0.014368
14593,13-08-92,AAPL,44.75,1529324,0.014164
14593,14-08-92,AAPL,44.75,1217594,0
14593,17-08-92,AAPL,44.75,1152082,0.002682
14593,18-08-92,AAPL,44.75,1004729,0
14593,19-08-92,AAPL,44.5,1539798,-0.005587
14593,20-08-92,AAPL,44.75,973214,0.005618
14593,21-08-92,AAPL,44.75,979124,0
